,,,,,,,,,,,,,,n=100,,,,,
,,,,,,,,,,,,,,,,,,,
,,8,,,,6,,,,4,,,,2,th,,,,1
speed,par,seq,,speed,par,seq,,speed,par,seq,,speed,par,seq,,,speed,par,seq
0.395075,0.036507,0.014423,,0.665294,0.025736,0.017122,,1.02116,0.019896,0.020317,,0.697376,0.017074,0.011907,,,0.702605,0.019116,0.013431
0.337264,0.037484,0.012642,,0.692849,0.034934,0.024204,,0.620423,0.020399,0.012656,,0.854272,0.020847,0.017809,,,1.297476,0.018109,0.023496
0.316367,0.036837,0.011654,,0.649668,0.025884,0.016816,,0.770092,0.019473,0.014996,,0.773941,0.016478,0.012753,,,1.660679,0.018705,0.031063
0.293535,0.036936,0.010842,,0.505195,0.0256,0.012933,,0.518087,0.023027,0.01193,,0.616477,0.017248,0.010633,,,1.220253333,0.018643333,0.022663333
0.376719,0.037017,0.013945,,0.982246,0.026135,0.025671,,0.765578,0.020429,0.01564,,0.780403,0.019472,0.015196,,,,,
0.343792,0.0369562,0.0127012,,0.6990504,0.0276578,0.0193492,,0.739068,0.0206448,0.0151078,avg,0.7444938,0.0182238,0.0136596,avg,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,n=300,,,,,
,,,,,,6,,,,4,,,,2,,,1,,
,,8,,speed,par,seq,,speed,par,seq,,speed,par,seq,,speed,par,seq,
speed,par,seq,,1.96867,0.134087,0.263973,,1.835808,0.138009,0.253358,,1.575119,0.17616,0.277473,,0.80571,0.326023,0.26268,
2.064708,0.148715,0.307053,,1.873288,0.137272,0.25715,,2.129833,0.119353,0.254202,,1.654945,0.176827,0.292639,,,,,
1.88833,0.147139,0.277847,,1.913496,0.138028,0.264116,,2.034627,0.119503,0.243144,,1.46962,0.177833,0.261347,,,,,
1.729646,0.148768,0.257316,,1.880149,0.137103,0.257774,,2.086303,0.118096,0.246384,,1.372885,0.190426,0.261433,,,,,
1.670377,0.151094,0.252384,,1.829537,0.13759,0.251726,,2.090405,0.119142,0.249055,,1.546797,0.176442,0.27292,,,,,
1.86032,0.149062,0.277303,,1.893028,0.136816,0.2589478,,2.0353952,0.1228206,0.2492286,,1.5238732,0.1795376,0.2731624,,,,,
1.8426762,0.1489556,0.2743806,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,n=500,,,,,
,,8,,,,6,,,,4,,,,2,,,1,,
speed,par,seq,,speed,par,seq,,speed,par,seq,,speed,par,seq,,speed,par,seq,
2.695716,0.440309,1.186948,,2.694233,0.425366,1.146035,,2.895183,0.447753,1.296327,,1.659535,0.702381,1.165626,,1.051716,1.319443,1.387679,
2.618911,0.437549,1.145902,,2.84562,0.437091,1.243795,,2.515425,0.467791,1.176693,,1.573118,0.710478,1.117666,,,,,
2.695957,0.449597,1.212094,,2.58413,0.445675,1.151682,,2.604468,0.451627,1.176248,,1.687368,0.716244,1.208567,,,,,
2.400635,0.480383,1.153224,,2.747958,0.419216,1.151988,,2.805702,0.446855,1.253742,,1.744012,0.717397,1.251149,,,,,
2.871724,0.444652,1.276918,,2.564369,0.444434,1.139693,,2.780017,0.458908,1.275772,,1.578563,0.761865,1.202652,,,,,
2.6565886,0.450498,1.1950172,,2.687262,0.4343564,1.1666386,,2.720159,0.4545868,1.2357564,,1.6485192,0.721673,1.189132,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,n=600,,,,,
,,8,,,,6,,,,4,,,,2,,,,1,
speed,par,seq,,speed,par,seq,,speed,par,seq,,speed,par,seq,,speed,par,seq,
3.135182,0.650292,2.038784,,3.164768,0.676607,2.141304,,2.732519,0.734691,2.007557,,1.489907,1.438427,2.143122,,0.980636,2.161607,2.11975,
3.257832,0.655804,2.136499,,2.994856,0.664993,1.991558,,2.769165,0.738176,2.044131,,1.684529,1.228543,2.069516,,,,,
2.978799,0.690252,2.056122,,3.03261,0.66206,2.00777,,2.70503,0.778063,2.104684,,1.730641,1.24008,2.146133,,,,,
3.071851,0.646502,1.985958,,3.155632,0.652237,2.05822,,2.861365,0.714926,2.045664,,1.687755,1.263734,2.132874,,,,,
3.155085,0.671917,2.119955,,3.332563,0.675499,2.251143,,2.900871,0.721019,2.091583,,1.55504,1.288679,2.003947,,,,,
3.1197498,0.6629534,2.0674636,,3.1360858,0.6662792,2.089999,,2.79379,0.737375,2.0587238,,1.6295744,1.2918926,2.0991184,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,n=2000,,,,,
,,,,,,,,,,,,,,,,,,,
,,8,,,,6,,,,4,,,,2,,,,1,
speed,par,seq,,speed,par,seq,,speed,par,seq,,speed,par,seq,,speed,par,seq,
3.602339,19.823369,71.410495,,3.274692,21.955281,71.896788,,3.041372,23.716798,72.131604,,1.846736x,38.909186,71.854989,,0.979739,73.868117,72.371476,
,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,
speed,par,seq,,,,300,,600,,500,,,100,,,,,,
4.197853x,17.341939,72.79891,,,speed,par,speed,par,speed,par,,speed,par,,,,,,
,,,,,0.80571,0.326023,0.980636,2.161607,1.051716,1.319443,,1.220253333,0.018643333,1,,,,,
,,,,,1.5238732,0.1795376,1.6295744,1.2918926,1.6485192,0.721673,,0.7444938,0.0182238,2,,,,,
,,,,,2.0353952,0.1228206,2.79379,0.737375,2.720159,0.4545868,,0.739068,0.0206448,4,,,,,
,,,,,1.893028,0.136816,3.1360858,0.6662792,2.687262,0.4343564,,0.6990504,0.0276578,6,,,,,
,,,,,1.8426762,0.1489556,3.1197498,0.6629534,2.6565886,0.450498,,0.343792,0.0369562,8,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2000,,,,,,,,
,,,,,,,,,,,speed,,,,,,,,
,,,,,,,,,,,0.979739,,,,,,,,
,,,,,,,,,,,1.846736,,,,,,,,
,,,,,,,,,,,3.041372,,,,,,,,
,,,,,,,,,,,3.274692,,,,,,,,
,,,,,,,,,,,3.602339,,,,,,,,
,,,,,,,,,,,4.197853,,,,,,,,
